City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,warrnambool,-38.3833,142.4833,7.95,71,23,2.61,AU,1689698840
265,ghat,24.9647,10.1728,37.47,6,0,6.85,LY,1689698840
266,kudahuvadhoo,2.6708,72.8944,28.65,71,64,2.45,MV,1689698841
267,iskateley,67.6803,53.1512,19.27,77,93,1.63,RU,1689698841
268,baruun-urt,46.6806,113.2792,19.89,70,67,1.99,MN,1689698841
269,bushehr,28.9684,50.8385,36.05,52,0,4.12,IR,1689698841
270,kiunga,-6.1219,141.2906,21.82,99,100,1.11,PG,1689698842
271,kavieng,-2.5744,150.7967,26.99,81,46,2.91,PG,1689698842
272,magnolia,33.2671,-93.2393,31.83,44,51,3.85,US,1689698316
273,ciudad lazaro cardenas,17.9583,-102.2,31.98,55,99,1.1,MX,1689698842
274,sterling,39.0062,-77.4286,31.81,53,40,6.17,US,1689698713
275,daru,-9.0763,143.2092,23.58,88,9,4.42,PG,1689698843
276,lubang,13.8584,120.124,28.62,77,95,6.5,PH,1689698843
277,ust-nera,64.5667,143.2,17.16,44,58,2.76,RU,1689698844
278,tual,-5.6667,132.75,26.56,80,6,9.15,ID,1689698844
279,lazaro cardenas,17.9583,-102.2,31.98,55,99,1.1,MX,1689698845
280,demidov,55.2706,31.515,13.2,96,100,4.46,RU,1689698845
281,antigonish,45.6169,-61.9986,28.97,78,68,1.79,CA,1689698845
282,cururupu,-1.8283,-44.8683,30.76,53,4,3.76,BR,1689698846
283,kirakira,-10.4544,161.9205,25.87,87,100,1.12,SB,1689698846
284,emerald,-23.5333,148.1667,14.59,74,61,4.17,AU,1689698805
285,saynshand,44.8824,110.1163,25.59,39,100,11.35,MN,1689698846
286,kourou,5.1552,-52.6478,32.03,63,19,4.85,GF,1689698847
287,zhengjiatun,43.5064,123.5064,21.28,88,8,3.34,CN,1689698847
288,antsiranana,-12.2787,49.2917,23.55,69,2,7.52,MG,1689698847
289,masina,-4.3836,15.3914,30.19,54,41,5.14,CD,1689698848
290,ad dilam,23.9915,47.1627,44.23,7,18,3.89,SA,1689698848
291,ndele,8.4109,20.6473,24.8,87,85,3.03,CF,1689698848
292,santiago de cao,-7.9589,-79.2392,23.07,78,43,4.12,PE,1689698848
293,gaiman,-43.2897,-65.4929,8.51,39,25,6.43,AR,1689698848
294,ballina,-28.8667,153.5667,12.66,92,66,3.83,AU,1689698849
295,kremenets,50.0969,25.7246,19.73,72,2,3.01,UA,1689698849
296,concepcion,-36.827,-73.0498,10.89,66,0,2.57,CL,1689698713
297,namdrik,5.5994,168.1028,28.2,77,82,5.8,MH,1689698850
298,kupang,-10.1667,123.5833,24.0,77,18,4.85,ID,1689698850
299,smithers,54.7804,-127.1743,17.18,55,40,2.06,CA,1689698482
300,port douglas,-16.4833,145.4667,21.15,82,32,3.9,AU,1689698850
